Comment;topDesignator;bottomDesignator;Footprint;JLCPCB Part #
0.5A24V-C910822;F2;;0805;C910822
FMMT491-C686647;;Q1;SOT-23;C686647
B340A-C85098;;D3,D1,D3,D1;DO-213;C85098
10UH3.2A-C177248;;L1;530;C177248
1K;;R1;1206;C4410
220pF;C13;;0805;C107145
2K;;R2;1206;C17944
10K;;R4,R5,R3,R8,R6,R4,R5,R3,R8,R6,R4,R5,R3,R8,R6,R4,R5,R3,R8,R6,R4,R5,R3,R8,R6;1206;C17902
PJ-320D-C431535;;AV-PORT-IN,AV-PORT-OUT,AV-PORT-IN,AV-PORT-OUT;SMD;C431535
150;;R21,R22,R21,R22;0805;C17471
1N5819W;;D2,D6,D2,D6;SOD-123;C5451628
100;;R11;0805;C17408
C84259;LED3;;0805;C84259
100K;;R7,R10,R7,R10;1206;C17900
3A24V-C2892380;F1;;1812;C2892380
MCP2025-500E/SN;IC1;;SO-8;C635947
100uF-C688948;;C1;CASE-B;C688948
10K;R20;;0805;C17414
33K;;R9;1206;C137309
C397194;K1;;G6K-2F-YDC12V;C397194
100uF;;C12;1210;C6120014
